X,Y,SHORTESTDIST,CONCRETE,HBLOCK,BRICK,WOOD,GLASS,RCCROOF,OUTPUT
490,350,34,0,0,0,0,0,0,1
490,355,32,0,0,0,0,0,0,1
490,360,30,0,0,0,0,0,0,1
490,365,28,0,0,0,0,0,0,1
490,370,28,0,0,0,0,0,0,1
490,375,28,0,0,0,0,0,0,1
490,380,30,0,0,0,0,0,0,1
490,385,32,0,0,0,0,0,0,1
490,390,34,0,0,0,0,0,0,1
490,395,38,0,0,0,0,0,0,1
490,400,41,0,0,0,0,0,0,1
490,405,45,0,0,0,0,0,0,2
490,410,49,0,0,0,0,0,0,2
490,415,53,0,0,0,0,0,0,2
490,420,57,0,0,0,0,0,0,2
495,300,74,0,0,0,0,0,0,3
495,305,69,0,0,0,0,0,0,2
495,310,64,0,0,0,0,0,0,2
495,315,60,0,0,0,0,0,0,2
495,320,55,0,0,0,0,0,0,2
495,325,51,0,0,0,0,0,0,2
495,330,46,0,0,0,0,0,0,2
495,335,42,0,0,0,0,0,0,1
495,340,38,0,0,0,0,0,0,1
495,345,34,0,0,0,0,0,0,1
495,350,30,0,0,0,0,0,0,1
495,355,27,0,0,0,0,0,0,1
495,360,25,0,0,0,0,0,0,1
495,365,24,0,0,0,0,0,0,1
495,370,23,0,0,0,0,0,0,1
495,375,24,0,0,0,0,0,0,1
495,380,25,0,0,0,0,0,0,1
495,385,27,0,0,0,0,0,0,1
495,390,30,0,0,0,0,0,0,1
495,395,34,0,0,0,0,0,0,1
495,400,38,0,0,0,0,0,0,1
495,405,42,0,0,0,0,0,0,1
495,410,46,0,0,0,0,0,0,2
495,415,51,0,0,0,0,0,0,2
495,420,55,0,0,0,0,0,0,2
500,300,72,0,0,0,0,0,0,3
500,305,67,0,0,0,0,0,0,2
500,310,63,0,0,0,0,0,0,2
500,315,58,0,0,0,0,0,0,2
500,320,53,0,0,0,0,0,0,2
500,325,48,0,0,0,0,0,0,2
500,330,44,0,0,0,0,0,0,2
500,335,39,0,0,0,0,0,0,1
500,340,35,0,0,0,0,0,0,1
500,345,31,0,0,0,0,0,0,1
500,350,27,0,0,0,0,0,0,1
500,355,23,0,0,0,0,0,0,1
500,360,21,0,0,0,0,0,0,1
500,365,19,0,0,0,0,0,0,1
500,370,18,0,0,0,0,0,0,1
500,375,19,0,0,0,0,0,0,1
500,380,21,0,0,0,0,0,0,1
500,385,23,0,0,0,0,0,0,1
500,390,27,0,0,0,0,0,0,1
500,395,31,0,0,0,0,0,0,1
500,400,35,0,0,0,0,0,0,1
500,405,39,0,0,0,0,0,0,1
500,410,44,0,0,0,0,0,0,2
500,415,48,0,0,0,0,0,0,2
500,420,53,0,0,0,0,0,0,2
505,300,71,0,0,0,0,0,0,2
505,305,66,0,0,0,0,0,0,2
505,310,61,0,0,0,0,0,0,2
505,315,57,0,0,0,0,0,0,2
505,320,52,0,0,0,0,0,0,2
505,325,47,0,0,0,0,0,0,2
505,330,42,0,0,0,0,0,0,1
505,335,37,0,0,0,0,0,0,1
505,340,33,0,0,0,0,0,0,1
505,345,28,0,0,0,0,0,0,1
505,350,24,0,0,0,0,0,0,1
